groupins for DFSP,Sex,"Race and origin recode (NHW, NHB, NHAIAN, NHAPI, Hispanic)",Year of diagnosis sebaceous carcinoma,SEER registry,Age-Adjusted Rate,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Count,Rate Ratio,Ratio Lower Confidence Interval,Ratio Upper Confidence Interval,Ratio P-Value,Population
50-59,Male and female,Hispanic (All Races),2000-2021,Louisiana,0,~,0,0.97,0, , , , ,380419
50-59,Male and female,Hispanic (All Races),2000-2021,New Jersey,0.28,0.09,0.14,0.52,10, , , , ,3531279
50-59,Male and female,Hispanic (All Races),2000-2021,Greater Georgia,0.51,0.3,0.11,1.49,3, , , , ,615236
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,San Francisco-Oakland SMSA,~,~,~,~,1, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Connecticut,~,~,~,~,2, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Hawaii,~,~,~,~,2, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Iowa,~,~,~,~,1, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,New Mexico,~,~,~,~,0, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Seattle (Puget Sound),~,~,~,~,1, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Utah,~,~,~,~,0, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Atlanta (Metropolitan),~,~,~,~,1, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,San Jose-Monterey,~,~,~,~,1, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Los Angeles,~,~,~,~,8, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Rural Georgia,~,~,~,~,0, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,California excluding SF/SJM/LA,~,~,~,~,25, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Kentucky,~,~,~,~,0, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Louisiana,~,~,~,~,0, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,New Jersey,~,~,~,~,5, , , , ,0
50-59,Male and female,Non-Hispanic Unknown Race,2000-2021,Greater Georgia,~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic White,2000-2021,San Francisco-Oakland SMSA,0.56,0.13,0.34,0.87,20, , , , ,3476702
50-59,Male,Non-Hispanic White,2000-2021,Connecticut,0.13,0.05,0.05,0.28,6, , , , ,4356375
50-59,Male,Non-Hispanic White,2000-2021,Hawaii,0.99,0.41,0.36,2.19,6, , , , ,553850
50-59,Male,Non-Hispanic White,2000-2021,Iowa,0.21,0.07,0.1,0.41,9, , , , ,4129110
50-59,Male,Non-Hispanic White,2000-2021,New Mexico,0.69,0.22,0.33,1.27,10, , , , ,1421089
50-59,Male,Non-Hispanic White,2000-2021,Seattle (Puget Sound),0.36,0.08,0.22,0.56,20, , , , ,5523669
50-59,Male,Non-Hispanic White,2000-2021,Utah,0.33,0.11,0.15,0.63,9, , , , ,2585327
50-59,Male,Non-Hispanic White,2000-2021,Atlanta (Metropolitan),0.33,0.12,0.14,0.65,8, , , , ,2349066
50-59,Male,Non-Hispanic White,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic White,2000-2021,San Jose-Monterey,0.76,0.21,0.42,1.28,14, , , , ,1802548
50-59,Male,Non-Hispanic White,2000-2021,Los Angeles,0.64,0.11,0.44,0.9,32, , , , ,4875173
50-59,Male,Non-Hispanic White,2000-2021,Rural Georgia,0,~,0,3.17,0, , , , ,117652
50-59,Male,Non-Hispanic White,2000-2021,California excluding SF/SJM/LA,0.41,0.05,0.32,0.52,69, , , , ,16094990
50-59,Male,Non-Hispanic White,2000-2021,Kentucky,0.3,0.07,0.17,0.48,17, , , , ,5666829
50-59,Male,Non-Hispanic White,2000-2021,Louisiana,0.42,0.1,0.25,0.66,18, , , , ,4218133
50-59,Male,Non-Hispanic White,2000-2021,New Jersey,0.32,0.06,0.22,0.47,29, , , , ,8831469
50-59,Male,Non-Hispanic White,2000-2021,Greater Georgia,0.4,0.08,0.25,0.59,24, , , , ,5988515
50-59,Male,Non-Hispanic Black,2000-2021,San Francisco-Oakland SMSA,0.88,0.39,0.28,2.05,5, , , , ,561157
50-59,Male,Non-Hispanic Black,2000-2021,Connecticut,0,~,0,0.86,0, , , , ,430105
50-59,Male,Non-Hispanic Black,2000-2021,Hawaii,0,~,0,10.15,0, , , , ,36435
50-59,Male,Non-Hispanic Black,2000-2021,Iowa,1.01,1.01,0.03,5.64,1, , , , ,98754
50-59,Male,Non-Hispanic Black,2000-2021,New Mexico,0,~,0,6.08,0, , , , ,60565
50-59,Male,Non-Hispanic Black,2000-2021,Seattle (Puget Sound),0.62,0.44,0.08,2.23,2, , , , ,328990
50-59,Male,Non-Hispanic Black,2000-2021,Utah,0,~,0,10.9,0, , , , ,33790
50-59,Male,Non-Hispanic Black,2000-2021,Atlanta (Metropolitan),0.19,0.11,0.04,0.57,3, , , , ,1510288
50-59,Male,Non-Hispanic Black,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic Black,2000-2021,San Jose-Monterey,0,~,0,3.44,0, , , , ,107095
50-59,Male,Non-Hispanic Black,2000-2021,Los Angeles,0.17,0.12,0.02,0.61,2, , , , ,1188636
50-59,Male,Non-Hispanic Black,2000-2021,Rural Georgia,0,~,0,5.33,0, , , , ,69081
50-59,Male,Non-Hispanic Black,2000-2021,California excluding SF/SJM/LA,0.15,0.11,0.02,0.54,2, , , , ,1372561
50-59,Male,Non-Hispanic Black,2000-2021,Kentucky,0.22,0.22,0.01,1.26,1, , , , ,429446
50-59,Male,Non-Hispanic Black,2000-2021,Louisiana,0.11,0.08,0.01,0.41,2, , , , ,1741693
50-59,Male,Non-Hispanic Black,2000-2021,New Jersey,0.2,0.11,0.04,0.58,3, , , , ,1481331
50-59,Male,Non-Hispanic Black,2000-2021,Greater Georgia,0.11,0.07,0.01,0.38,2, , , , ,1887864
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,San Francisco-Oakland SMSA,0,~,0,14.87,0, , , , ,24741
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Connecticut,0,~,0,28.28,0, , , , ,13007
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Hawaii,0,~,0,71.18,0, , , , ,5229
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Iowa,0,~,0,32.36,0, , , , ,11389
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,New Mexico,0.54,0.54,0.01,2.93,1, , , , ,195395
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Seattle (Puget Sound),0,~,0,4.22,0, , , , ,87232
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Utah,0,~,0,12.82,0, , , , ,28705
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Atlanta (Metropolitan),0,~,0,35.06,0, , , , ,10499
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Alaska Natives,0.72,0.72,0.02,4.13,1, , , , ,131104
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,San Jose-Monterey,0,~,0,24.54,0, , , , ,14992
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Los Angeles,0,~,0,8.3,0, , , , ,44358
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Rural Georgia,0,~,0,658.71,0, , , , ,575
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,California excluding SF/SJM/LA,0,~,0,1.61,0, , , , ,229189
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Kentucky,0,~,0,22.25,0, , , , ,16528
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Louisiana,0,~,0,9.29,0, , , , ,39618
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,New Jersey,0,~,0,15.38,0, , , , ,23919
50-59,Male,Non-Hispanic American Indian/Alaska Native,2000-2021,Greater Georgia,0,~,0,13.43,0, , , , ,27399
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,San Francisco-Oakland SMSA,0.12,0.09,0.02,0.46,2, , , , ,1498955
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Connecticut,0,~,0,2.3,0, , , , ,159998
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Hawaii,0.45,0.19,0.17,0.99,6, , , , ,1276773
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Iowa,0,~,0,6.89,0, , , , ,53611
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,New Mexico,0,~,0,10.51,0, , , , ,34989
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Seattle (Puget Sound),0,~,0,0.61,0, , , , ,598411
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Utah,1.13,1.13,0.03,6.39,1, , , , ,85506
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Atlanta (Metropolitan),0,~,0,1.29,0, , , , ,285180
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,San Jose-Monterey,0,~,0,0.44,0, , , , ,830952
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Los Angeles,0.14,0.08,0.03,0.41,3, , , , ,1985828
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Rural Georgia,0,~,0,572.18,0, , , , ,651
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,California excluding SF/SJM/LA,0.19,0.09,0.06,0.45,5, , , , ,2616436
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Kentucky,1.82,1.82,0.05,10.13,1, , , , ,55117
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Louisiana,1.1,1.1,0.03,5.98,1, , , , ,95099
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,New Jersey,0.31,0.18,0.06,0.9,3, , , , ,980443
50-59,Male,Non-Hispanic Asian or Pacific Islander,2000-2021,Greater Georgia,0,~,0,2.96,0, , , , ,124363
50-59,Male,Hispanic (All Races),2000-2021,San Francisco-Oakland SMSA,0,~,0,0.39,0, , , , ,939188
50-59,Male,Hispanic (All Races),2000-2021,Connecticut,0.22,0.22,0.01,1.22,1, , , , ,458616
50-59,Male,Hispanic (All Races),2000-2021,Hawaii,2.87,1.66,0.59,8.44,3, , , , ,101881
50-59,Male,Hispanic (All Races),2000-2021,Iowa,0,~,0,3.17,0, , , , ,117104
50-59,Male,Hispanic (All Races),2000-2021,New Mexico,0.26,0.15,0.05,0.77,3, , , , ,1080639
50-59,Male,Hispanic (All Races),2000-2021,Seattle (Puget Sound),0,~,0,1.18,0, , , , ,313674
50-59,Male,Hispanic (All Races),2000-2021,Utah,0,~,0,1.37,0, , , , ,271433
50-59,Male,Hispanic (All Races),2000-2021,Atlanta (Metropolitan),0,~,0,1.22,0, , , , ,310213
50-59,Male,Hispanic (All Races),2000-2021,Alaska Natives,0,~,0,99.85,0, , , , ,3688
50-59,Male,Hispanic (All Races),2000-2021,San Jose-Monterey,0.13,0.13,0,0.72,1, , , , ,770969
50-59,Male,Hispanic (All Races),2000-2021,Los Angeles,0.32,0.08,0.18,0.52,15, , , , ,4742514
50-59,Male,Hispanic (All Races),2000-2021,Rural Georgia,0,~,0,103.86,0, , , , ,3754
50-59,Male,Hispanic (All Races),2000-2021,California excluding SF/SJM/LA,0.13,0.04,0.06,0.25,9, , , , ,6955888
50-59,Male,Hispanic (All Races),2000-2021,Kentucky,0,~,0,3.51,0, , , , ,106166
50-59,Male,Hispanic (All Races),2000-2021,Louisiana,0,~,0,1.82,0, , , , ,202717
50-59,Male,Hispanic (All Races),2000-2021,New Jersey,0.41,0.15,0.16,0.84,7, , , , ,1719738
50-59,Male,Hispanic (All Races),2000-2021,Greater Georgia,0.64,0.45,0.08,2.26,2, , , , ,335285
50-59,Male,Non-Hispanic Unknown Race,2000-2021,San Francisco-Oakland SMSA,~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Connecticut,~,~,~,~,1, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Hawaii,~,~,~,~,2, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Iowa,~,~,~,~,1, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,New Mexico,~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Seattle (Puget Sound),~,~,~,~,1, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Utah,~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Atlanta (Metropolitan),~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,San Jose-Monterey,~,~,~,~,1, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Los Angeles,~,~,~,~,4, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Rural Georgia,~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,California excluding SF/SJM/LA,~,~,~,~,22, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Kentucky,~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Louisiana,~,~,~,~,0, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,New Jersey,~,~,~,~,4, , , , ,0
50-59,Male,Non-Hispanic Unknown Race,2000-2021,Greater Georgia,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic White,2000-2021,San Francisco-Oakland SMSA,0.12,0.06,0.03,0.31,4, , , , ,3306594
50-59,Female,Non-Hispanic White,2000-2021,Connecticut,0.14,0.06,0.05,0.3,6, , , , ,4509371
50-59,Female,Non-Hispanic White,2000-2021,Hawaii,0,~,0,0.78,0, , , , ,478144
50-59,Female,Non-Hispanic White,2000-2021,Iowa,0.13,0.06,0.05,0.3,6, , , , ,4123727
50-59,Female,Non-Hispanic White,2000-2021,New Mexico,0,~,0,0.25,0, , , , ,1497198
50-59,Female,Non-Hispanic White,2000-2021,Seattle (Puget Sound),0.21,0.06,0.11,0.37,12, , , , ,5531047
50-59,Female,Non-Hispanic White,2000-2021,Utah,0.34,0.11,0.16,0.65,9, , , , ,2596371
50-59,Female,Non-Hispanic White,2000-2021,Atlanta (Metropolitan),0.24,0.1,0.09,0.53,6, , , , ,2388669
50-59,Female,Non-Hispanic White,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic White,2000-2021,San Jose-Monterey,0.18,0.1,0.04,0.52,3, , , , ,1722442
50-59,Female,Non-Hispanic White,2000-2021,Los Angeles,0.28,0.08,0.15,0.48,13, , , , ,4626024
50-59,Female,Non-Hispanic White,2000-2021,Rural Georgia,0,~,0,3.14,0, , , , ,119805
50-59,Female,Non-Hispanic White,2000-2021,California excluding SF/SJM/LA,0.25,0.04,0.18,0.34,42, , , , ,16256362
50-59,Female,Non-Hispanic White,2000-2021,Kentucky,0.21,0.06,0.11,0.36,12, , , , ,5877233
50-59,Female,Non-Hispanic White,2000-2021,Louisiana,0.43,0.1,0.26,0.67,19, , , , ,4286409
50-59,Female,Non-Hispanic White,2000-2021,New Jersey,0.25,0.05,0.15,0.37,22, , , , ,9090246
50-59,Female,Non-Hispanic White,2000-2021,Greater Georgia,0.13,0.05,0.06,0.26,8, , , , ,6119284
50-59,Female,Non-Hispanic Black,2000-2021,San Francisco-Oakland SMSA,0.16,0.16,0,0.9,1, , , , ,590776
50-59,Female,Non-Hispanic Black,2000-2021,Connecticut,0,~,0,0.72,0, , , , ,510834
50-59,Female,Non-Hispanic Black,2000-2021,Hawaii,0,~,0,19.05,0, , , , ,19333
50-59,Female,Non-Hispanic Black,2000-2021,Iowa,0,~,0,4.38,0, , , , ,83925
50-59,Female,Non-Hispanic Black,2000-2021,New Mexico,0,~,0,8.2,0, , , , ,44995
50-59,Female,Non-Hispanic Black,2000-2021,Seattle (Puget Sound),0.36,0.36,0.01,2.03,1, , , , ,266771
50-59,Female,Non-Hispanic Black,2000-2021,Utah,0,~,0,17.46,0, , , , ,21094
50-59,Female,Non-Hispanic Black,2000-2021,Atlanta (Metropolitan),0.11,0.07,0.01,0.38,2, , , , ,1887387
50-59,Female,Non-Hispanic Black,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Black,2000-2021,San Jose-Monterey,0,~,0,4.41,0, , , , ,83536
50-59,Female,Non-Hispanic Black,2000-2021,Los Angeles,0.6,0.21,0.26,1.18,8, , , , ,1375371
50-59,Female,Non-Hispanic Black,2000-2021,Rural Georgia,0,~,0,4.68,0, , , , ,78817
50-59,Female,Non-Hispanic Black,2000-2021,California excluding SF/SJM/LA,0,~,0,0.28,0, , , , ,1318079
50-59,Female,Non-Hispanic Black,2000-2021,Kentucky,0,~,0,0.79,0, , , , ,464259
50-59,Female,Non-Hispanic Black,2000-2021,Louisiana,0.05,0.05,0,0.28,1, , , , ,2028800
50-59,Female,Non-Hispanic Black,2000-2021,New Jersey,0.18,0.1,0.04,0.51,3, , , , ,1788522
50-59,Female,Non-Hispanic Black,2000-2021,Greater Georgia,0.09,0.06,0.01,0.32,2, , , , ,2189856
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,San Francisco-Oakland SMSA,0,~,0,14.04,0, , , , ,26200
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Connecticut,0,~,0,28.51,0, , , , ,12909
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Hawaii,0,~,0,74.63,0, , , , ,4952
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Iowa,0,~,0,28.85,0, , , , ,12760
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,New Mexico,0,~,0,1.62,0, , , , ,226900
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Seattle (Puget Sound),1.15,1.15,0.03,6.2,1, , , , ,92794
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Utah,0,~,0,10.97,0, , , , ,33533
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Atlanta (Metropolitan),0,~,0,30.3,0, , , , ,12182
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Alaska Natives,0,~,0,2.79,0, , , , ,132073
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,San Jose-Monterey,0,~,0,23.2,0, , , , ,15890
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Los Angeles,0,~,0,7.44,0, , , , ,49600
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Rural Georgia,0,~,0,632.47,0, , , , ,582
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,California excluding SF/SJM/LA,0,~,0,1.48,0, , , , ,249443
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Kentucky,0,~,0,22.06,0, , , , ,16703
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Louisiana,0,~,0,8.9,0, , , , ,41391
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,New Jersey,0,~,0,14.34,0, , , , ,25666
50-59,Female,Non-Hispanic American Indian/Alaska Native,2000-2021,Greater Georgia,0,~,0,12.94,0, , , , ,28505
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,San Francisco-Oakland SMSA,0,~,0,0.21,0, , , , ,1737595
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Connecticut,0,~,0,2.11,0, , , , ,174509
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Hawaii,0.39,0.17,0.13,0.9,5, , , , ,1368919
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Iowa,0,~,0,5.9,0, , , , ,62424
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,New Mexico,0,~,0,7.36,0, , , , ,49954
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Seattle (Puget Sound),0.28,0.2,0.03,0.99,2, , , , ,747932
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Utah,0,~,0,3.73,0, , , , ,98540
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Atlanta (Metropolitan),0.34,0.34,0.01,1.9,1, , , , ,295228
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,San Jose-Monterey,0.11,0.11,0,0.6,1, , , , ,900014
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Los Angeles,0.22,0.1,0.07,0.51,5, , , , ,2387768
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Rural Georgia,0,~,0,426.04,0, , , , ,928
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,California excluding SF/SJM/LA,0.17,0.07,0.05,0.38,5, , , , ,3055603
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Kentucky,0,~,0,5.54,0, , , , ,66458
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Louisiana,1.05,1.05,0.03,5.67,1, , , , ,101412
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,New Jersey,0.1,0.1,0,0.54,1, , , , ,1046942
50-59,Female,Non-Hispanic Asian or Pacific Islander,2000-2021,Greater Georgia,0,~,0,2.38,0, , , , ,154414
50-59,Female,Hispanic (All Races),2000-2021,San Francisco-Oakland SMSA,0.64,0.26,0.24,1.4,6, , , , ,925212
50-59,Female,Hispanic (All Races),2000-2021,Connecticut,0,~,0,0.74,0, , , , ,498843
50-59,Female,Hispanic (All Races),2000-2021,Hawaii,0,~,0,3.55,0, , , , ,103639
50-59,Female,Hispanic (All Races),2000-2021,Iowa,0,~,0,3.67,0, , , , ,100952
50-59,Female,Hispanic (All Races),2000-2021,New Mexico,0,~,0,0.33,0, , , , ,1125123
50-59,Female,Hispanic (All Races),2000-2021,Seattle (Puget Sound),0,~,0,1.29,0, , , , ,286948
50-59,Female,Hispanic (All Races),2000-2021,Utah,0,~,0,1.41,0, , , , ,261107
50-59,Female,Hispanic (All Races),2000-2021,Atlanta (Metropolitan),0,~,0,1.34,0, , , , ,277161
50-59,Female,Hispanic (All Races),2000-2021,Alaska Natives,0,~,0,116.18,0, , , , ,3186
50-59,Female,Hispanic (All Races),2000-2021,San Jose-Monterey,0.13,0.13,0,0.74,1, , , , ,753104
50-59,Female,Hispanic (All Races),2000-2021,Los Angeles,0.18,0.06,0.08,0.34,9, , , , ,5001011
50-59,Female,Hispanic (All Races),2000-2021,Rural Georgia,0,~,0,138.38,0, , , , ,2682
50-59,Female,Hispanic (All Races),2000-2021,California excluding SF/SJM/LA,0.22,0.06,0.12,0.36,15, , , , ,6957076
50-59,Female,Hispanic (All Races),2000-2021,Kentucky,0,~,0,4.46,0, , , , ,83045
50-59,Female,Hispanic (All Races),2000-2021,Louisiana,0,~,0,2.07,0, , , , ,177702
50-59,Female,Hispanic (All Races),2000-2021,New Jersey,0.16,0.09,0.03,0.47,3, , , , ,1811541
50-59,Female,Hispanic (All Races),2000-2021,Greater Georgia,0.37,0.37,0.01,2.03,1, , , , ,279951
50-59,Female,Non-Hispanic Unknown Race,2000-2021,San Francisco-Oakland SMSA,~,~,~,~,1, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Connecticut,~,~,~,~,1, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Hawaii,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Iowa,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,New Mexico,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Seattle (Puget Sound),~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Utah,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Atlanta (Metropolitan),~,~,~,~,1, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,San Jose-Monterey,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Los Angeles,~,~,~,~,4, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Rural Georgia,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,California excluding SF/SJM/LA,~,~,~,~,3, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Kentucky,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Louisiana,~,~,~,~,0, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,New Jersey,~,~,~,~,1, , , , ,0
50-59,Female,Non-Hispanic Unknown Race,2000-2021,Greater Georgia,~,~,~,~,0, , , , ,0
60-69,Male and female,Non-Hispanic White,2000-2021,San Francisco-Oakland SMSA,0.96,0.14,0.7,1.27,47, , , , ,4973603
60-69,Male and female,Non-Hispanic White,2000-2021,Connecticut,0.15,0.05,0.07,0.28,10, , , , ,6505597
60-69,Male and female,Non-Hispanic White,2000-2021,Hawaii,2.09,0.49,1.24,3.31,18, , , , ,864542
60-69,Male and female,Non-Hispanic White,2000-2021,Iowa,0.66,0.1,0.48,0.89,42, , , , ,6407071
60-69,Male and female,Non-Hispanic White,2000-2021,New Mexico,0.46,0.13,0.24,0.8,12, , , , ,2609121
60-69,Male and female,Non-Hispanic White,2000-2021,Seattle (Puget Sound),0.75,0.1,0.57,0.96,61, , , , ,8180570
60-69,Male and female,Non-Hispanic White,2000-2021,Utah,1.07,0.17,0.77,1.45,41, , , , ,3869106
60-69,Male and female,Non-Hispanic White,2000-2021,Atlanta (Metropolitan),0.77,0.16,0.49,1.14,24, , , , ,3180609
60-69,Male and female,Non-Hispanic White,2000-2021,Alaska Natives,~,~,~,~,0, , , , ,0
60-69,Male and female,Non-Hispanic White,2000-2021,San Jose-Monterey,1.49,0.24,1.05,2.04,38, , , , ,2594486
60-69,Male and female,Non-Hispanic White,2000-2021,Los Angeles,1.02,0.12,0.8,1.29,73, , , , ,7155970
60-69,Male and female,Non-Hispanic White,2000-2021,Rural Georgia,0,~,0,1.59,0, , , , ,231917
60-69,Male and female,Non-Hispanic White,2000-2021,California excluding SF/SJM/LA,0.76,0.05,0.66,0.88,194, , , , ,25567259
60-69,Male and female,Non-Hispanic White,2000-2021,Kentucky,0.39,0.07,0.27,0.54,35, , , , ,8909650
60-69,Male and female,Non-Hispanic White,2000-2021,Louisiana,1.1,0.13,0.86,1.38,72, , , , ,6602889
60-69,Male and female,Non-Hispanic White,2000-2021,New Jersey,0.7,0.07,0.56,0.85,92, , , , ,13352144
